category,national_position,position_evolution,company_name,billing,company_link,Denominación,Objeto Social,Domicilio Social,Localidad,Teléfono,Otros Teléfonos,Fax,Forma Jurídica,Página Web,Otras Webs,Marcas,Actividad
111,93.149,8.53,FL VALLADOLID LADRON DE GUEVARA SL,mediana,https://ranking-empresas.eleconomista.es/FL-VALLADOLID-LADRON-GUEVARA.html,Fl Valladolid Ladron De Guevara Sl,"COMPRAVENTA, PERMUTA, ADMINISTRACION, GESTION Y EXPLOTACION, BIEN DIRECTAMENTE O EN ARRENDAMIENTO, DE TODO TIPO DE BIENES INMUEBLES SEAN RUSTICOS O URBANOS.","CALLE SAN PEDRO , 8",ELBURGO/BURGELU,626.....,,,Sociedad limitada,,,,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas"
111,129.08,64.75,"DEHESA DE CASTRILLO XXI, S.L.",mediana,https://ranking-empresas.eleconomista.es/DEHESA-CASTRILLO-XXI.html,"Dehesa De Castrillo Xxi, S.l.","LA EXPLOTACION AGRICOLA, FORESTAL, GANADERA, CINEGETICA, DE FINCAS DE NATURALEZA RUSTICA, POR CULTIVO DIRECTO, POR ARRENDAMIENTO ORDINARIO O ARRENDAMIENTO PARCIARIO, O POR CUALQUIER OTRA FORMA ADMITIDA EN DERECHO","CALLE SAN ANTONIO , 10 - PISO 2 A",VITORIA-GASTEIZ,,,,Sociedad limitada,,,,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas"
111,151.476,18.328,LARREA ASTEASU SL,mediana,https://ranking-empresas.eleconomista.es/LARREA-ASTEASU.html,Larrea Asteasu Sl,Explotación agrícola extensiva.,"CALLE NAGUSIA , 5",BARRUNDIA,94526...,,,Sociedad limitada,,,,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas"
111,441.05,70.587,"DEHESA CHECA, S.L.",pequeña,https://ranking-empresas.eleconomista.es/DEHESA-CHECA.html,"Dehesa Checa, S.l.","1. La explotación agrícola, forestal, ganadera o cinegética, de fincas de naturaleza rústica, por cultivo directo, por arrendamiento ordinario o arrendamiento parciario, o por cualquier otra forma admitida en derecho. 2. La administración, la gestión, el desarrollo y la organización, bien por cue","CALLE SAN ANTONIO , 10 - PISO 2 A",VITORIA-GASTEIZ,,,,Sociedad limitada,,,,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas"
111,488.625,31.098,LASTERLUX SL,pequeña,https://ranking-empresas.eleconomista.es/LASTERLUX.html,Lasterlux Sl,"LA COMPRA VENTA DE TODA CLASE DE MADERAS, NOGALES, CHOPOS, ENCINOS Y PINOS.- LA TALA, TRANSPORTE Y COMERCIALIZACION DE TODO TIPO DE MADERAS.- LA IMPORTACION Y EXPORTACION DE TODA CLASE DE MADERAS Y EN ESPECIAL LAS ACTIVI","CALLE PORTAL DE GAMARRA , 1 - A, PISO 1 OFICINA 8",VITORIA-GASTEIZ,649.....,,,Sociedad limitada,,,,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas"
113,24.844,(ND),"CULTIVOS ARABA, SOCIEDAD LIMITADA.",grande,https://ranking-empresas.eleconomista.es/CULTIVOS-ARABA.html,"Cultivos Araba, Sociedad Limitada.","1. Construcción, instalaciones y mantenimiento. 2. Comercio al por mayor y al por menor. Distribución comercial. Importación y Exportación. 3. Actividades inmobiliarias. 4. Industrias manufactureras y textiles. 5. Turismo, hostelería y restauración. 6. Prestyación de servicios. Actividade","POLIGONO INDUSTRIAL , S/N",VALDEGOVIA/GAUBEA,,,,Sociedad limitada,,,"4 marcas, entre ellas: 3S, TOMATES DE GAUBEA...","Cultivo de hortalizas, raíces y tubérculos"
113,54.038,11.306,COOPERATIVA AGRICOLA NUESTRA SE ORA DE OCON,grande,https://ranking-empresas.eleconomista.es/COOPERATIVA-AGRICOLA-NUESTRA-SE-ORA-OCON.html,Cooperativa Agricola Nuestra Se Ora De Ocon,Cultivo y comercialización de patata de siembra.,"CARRETERA SANTA CRUZ , 34",BERNEDO,94537...,,94537...,Sociedad cooperativa,www.oconsc.es,,,"Cultivo de hortalizas, raíces y tubérculos"
121,40.33,3.681,VIÑEDOS BARON DE LEY SOCIEDAD LIMITADA.,grande,https://ranking-empresas.eleconomista.es/VINEDOS-BARON-LEY.html,Viñedos Baron De Ley Sociedad Limitada.,Gestión de viñedos del grupo de empresas.,"CAMINO VIEJO , 26",OYON-OION,94562...,,94562...,Sociedad limitada,www.barondeley.com,www.elcotoderioja.com,,Cultivo de la vid
121,59.672,1.701,"BODEGAS REMIREZ DE GANUZA, S.L.",grande,https://ranking-empresas.eleconomista.es/BODEGAS-REMIREZ-GANUZA.html,"Bodegas Remirez De Ganuza, S.l.","Cultivo, elaboración y comercialización de vino","CALLE CONSTITUCION , 1",SAMANIEGO,94560...,,94562...,Sociedad limitada unipersonal,www.remirezdeganuza.com,,"19 marcas, entre ellas: REMÍREZ DE GANUZA U.V, REMÍREZ DE GANUZA OLAGAR...",Cultivo de la vid
121,118.802,92.507,VIÑEDOS Y BODEGAS CASADO MORALES SOCIEDAD LIMITADA.,mediana,https://ranking-empresas.eleconomista.es/VINEDOS-BODEGAS-CASADO-MORALES.html,Viñedos Y Bodegas Casado Morales Sociedad Limitada.,"La elaboración, compra y venta de uvas, vinos, alcoholes y aceite. El cultivo de la vid y olivo, fabricación de pipería y demás ramas relacionadas con el comercio de vinos espírituosos y aceite. La construcción, compra y adquisición, en todo o en parte, y arriendo de bodegas, almacenes, destilerías","AVENIDA LA POVEDA , 12 - 4",LAPUEBLA DE LABARCA,,,94506...,Sociedad limitada,www.casadomorales.es,,"11 marcas, entre ellas: CONDE DE ALAVA, CONDE DE ALTAVA...",Cultivo de la vid
121,134.168,4.009,VIÑEDOS VALDEMAR SL,mediana,https://ranking-empresas.eleconomista.es/VINEDOS-VALDEMAR.html,Viñedos Valdemar Sl,"EXPLOTACION DE FINCAS, AGRARIAS, GANADERAS O FORESTALES.- CONSTRUCCION EN GENERAL; COMERCIO DE INMUEBLES, VALORES MOBILIARIOS, TITULOS. VALORES, ETC.","CAMINO VIEJO , S/N",OYON-OION,94562...,,,Sociedad limitada,,,,Cultivo de la vid
121,163.236,23.588,AGRICOLA RIOJANA SL,mediana,https://ranking-empresas.eleconomista.es/AGRICOLA-RIOJANA.html,Agricola Riojana Sl,"LA TENENCIA, ADQUISICION, PARCELACION, URBANIZACION, EXPLOTACION Y VENTA DE TERRENOS LA PROMOCION, EDIFICACION Y VENTA DE VIVIENDAS, LOCALES Y EDIFICIOS, Y LA EXPLOTACION EN ARRENDAMIENTO DE INMUEBLES PISOS Y LOCALES. TO","AVENIDA DIPUTACION , S/N - 3",OYON-OION,94145...,,94562...,Sociedad limitada unipersonal,,,,Cultivo de la vid
121,197.124,19.689,BODEGAS ARTEAGA SL,mediana,https://ranking-empresas.eleconomista.es/BODEGAS-ARTEAGA.html,Bodegas Arteaga Sl,"LA EXPLOTACION DE FINCAS AGRICOLAS MEDIANTE SU CULTIVO, PLANTACION, ARRENDAMIENTO O CUALQUIER OTRA FORMA DE EXPLOTACION, ASI COMO LA VENTA DE LOS PRODUCTOS DERIVADOS DEL CULTIVO DE LA TIERRA, INCLUYENDO EL CULTIVO DE VIN","CALLE CONSTITUCION , S/N",SAMANIEGO,,,,Sociedad limitada,,,URTASUN,Cultivo de la vid
121,198.866,24.27,VIÑAS DE RIBERA SL,mediana,https://ranking-empresas.eleconomista.es/VINAS-RIBERA.html,Viñas De Ribera Sl,COMPRA DE TERRENOS Y EN LA REALIZACION DE LAS GESTIONES NECESARIAS PARA LA PLANTACION DE VINEDO EN DICHOS TERRENOS.,"TRAVESIA SEGUNDA HERRERIA , 5",VILLABUENA DE ALAVA/ESKUERNAGA,94560...,,,Sociedad limitada unipersonal,,,,Cultivo de la vid
121,264.122,20.229,"FERNANDEZ-ARMESTO COMPAÑIA, SOCIEDAD DE RESPONSABILIDAD LIMITADA",pequeña,https://ranking-empresas.eleconomista.es/FERNANDEZ-ARMESTO-COMPANIA.html,"Fernandez-armesto Compañia, Sociedad De Responsabilidad Limitada","Tenencia explotación de bienes muebles e inmuebles, la prestación de toda clase de servicios de asesoramiento, asi como la prestación de servicios de intermediación y arbitraje.","CALLE MAYOR , 11",LEZA,659.....,,,Sociedad limitada,,,,Cultivo de la vid
121,324.386,14.39,BALFERPA SL,pequeña,https://ranking-empresas.eleconomista.es/BALFERPA.html,Balferpa Sl,"ADQUISICION, TENENCIA Y DISFRUTE DE TITULOS Y VALORES MOBILIARIOS, EXPLOTACIONES AGRICOLAS Y GANADERAS, CONSTRUCCION EN GENERAL, HOSTELERIA EN GENERAL, TRANSPORTE EN GENERAL.","AVENIDA EXCELENTISIMA DIPUTACION , 33",LAPUEBLA DE LABARCA,94560...,,,Sociedad limitada,,,,Cultivo de la vid
121,376.01,51.781,INVERSIONES EN TIERRAS Y VIÑAS SL,pequeña,https://ranking-empresas.eleconomista.es/INVERSIONES-TIERRAS-VINAS.html,Inversiones En Tierras Y Viñas Sl,"EL DESARROLLO AGRARIO Y EXPLOTACION DE FINCAS RUSTICAS ORIENTADOS FUNDAMENTALMENTE AL CULTIVO DE VINEDOS, LA ELABORACION, CRIANZA, VENTA Y COMERCIALIZACION.","CALLE TORREA , 1",ELCIEGO,94560...,,,Sociedad limitada unipersonal,,,,Cultivo de la vid
121,426.964,24.254,BODEGAS HERMOSILLA SL,pequeña,https://ranking-empresas.eleconomista.es/BODEGAS-HERMOSILLA.html,Bodegas Hermosilla Sl,"CULTIVO DE LA VID PARA LA OBTENCION DE LA UVA OBTENCION DE MOSTOS, ELABORACION DE MISTELAS, ELABORACION DE VINOS DE MESA Y CRIANZA Y CONSERVACION DE VINOS NO ESPUMOSOS EMBOTELLADO Y DISTRIBUCION DE LOS PRODUCTOS ANTERIOR","AVENIDA PUENTE DEL RIO EBRO , 36 - B",BAÑOS DE EBRO/MAÑUETA,94560...,,,Sociedad limitada,www.bodegashermosilla.com,,BODEGAS HERMOSILLA,Cultivo de la vid
121,490.924,74.621,VITIVINICOLA FRANTER SL,pequeña,https://ranking-empresas.eleconomista.es/VITIVINICOLA-FRANTER.html,Vitivinicola Franter Sl,"COMERCIO Y EXPLOTACION DE FINCAS AGRICOLAS Y URBANAS ACTIVIDADES VITIVINICOLAS EN GENERAL COMERCIO DE TITULOS, VALORES Y BIENES MOBILIARIOS.","CALLE BARRIHUELO , 105",ELCIEGO,94560...,,,Sociedad limitada,www.vitivinicolafrantersl.es,"www.vitivinicolafranter.es
www.franter.es
www.frantersl.es",,Cultivo de la vid
122,350.124,7.612,FRESARABA SL,pequeña,https://ranking-empresas.eleconomista.es/FRESARABA.html,Fresaraba Sl,"LA PRODUCCION, RECOLECCION Y COMERCIALIZACION DE FRUTAS, VERDURAS Y HORTALIZAS.","CALLE COMPOSTELA , 15 - 01 DR",VITORIA-GASTEIZ,,,,Sociedad limitada,,,FRESARABA SABE A FRESA,Cultivo de frutos tropicales y subtropicales
125,56.556,10.998,"DESARROLLOS AGRO INTENSIVOS, SOCIEDAD LIMITADA.",grande,https://ranking-empresas.eleconomista.es/DESARROLLOS-AGRO-INTENSIVOS.html,"Desarrollos Agro Intensivos, Sociedad Limitada.","1. Desarrollo de explotaciones agricolas.-2. La adquisición por cualquier título y la comercialización en general, de toda clase de terrenos, solares, edificios, fincas rústicas y urbanas, la edificaciñon, urbanización, bien por cuenta propia o la de un tercero , la enajenación, venta, arriendo o","CALLE ARANZABAL , 9 - OFICINA 7",VITORIA-GASTEIZ,,,,Sociedad limitada unipersonal,,,,Cultivo de otros árboles y arbustos frutales y frutos secos
129,238.488,25.111,EGUREN VINES SOCIEDAD LIMITADA.,pequeña,https://ranking-empresas.eleconomista.es/EGUREN-VINES.html,Eguren Vines Sociedad Limitada.,"Tareas de agricultura y servicios de carácter accesorio a las explotaciones que presten los titulares de las mismas a terceros con los medios ordinariamente utilizados en dichas explotaciones, siempre que tales servicios contribuyan a la realización de las producciones agrícolas. Producción y comerc",CARRETERA A-124,LAGUARDIA,94560...,,,Sociedad limitada,www.egurenugarte.com,,,Otros cultivos perennes
141,90.355,15.688,MENDIKO OKELA S.L.,mediana,https://ranking-empresas.eleconomista.es/MENDIKO-OKELA.html,Mendiko Okela S.l.,Compra al por mayor de ganado vacuno vivo y comercialización de productos cárnicos.,"CALLE NUEVA (BERNEDO) , 1",BERNEDO,94537...,,94537...,Sociedad limitada,,,MENDIKO,Explotación de ganado bovino para la producción de leche
141,110.124,5.499,JARDIN MENDIZABAL SL,mediana,https://ranking-empresas.eleconomista.es/JARDIN-MENDIZABAL.html,Jardin Mendizabal Sl,LA EXPLOTACION GANADERA.,"LUGAR JARDIN (CASERIO) , 2",ARRATZUA-UBARRUNDIA,,,,Sociedad limitada,,,,Explotación de ganado bovino para la producción de leche
141,200.175,(ND),ASOLOSTE SOC COOP,mediana,https://ranking-empresas.eleconomista.es/ASOLOSTE.html,Asoloste Soc Coop,EXPLOTACION AGRICOLA Y GANADERA.,"LUGAR BALTIA , S/N",SAN MILLAN/DONEMILIAGA,620.....,,,Sociedad cooperativa vasca,,,,Explotación de ganado bovino para la producción de leche
141,291.915,129.32,LANDA GAMBOA SL,pequeña,https://ranking-empresas.eleconomista.es/LANDA-GAMBOA.html,Landa Gamboa Sl,"LA EXPLOTACION AGRICOLA, GANADERA Y FORESTAL.","CALLE KIPILARREN , 1",ZUIA,646.....,,,Sociedad limitada,,,,Explotación de ganado bovino para la producción de leche
143,261.741,41.371,BLUSHING HORSE S.L.,pequeña,https://ranking-empresas.eleconomista.es/BLUSHING-HORSE.html,Blushing Horse S.l.,"Prestación de servicios de enseñanza hípica de alto rendimiento, así como la preparación de caballos de alta competición","CAMINO ITURBIDE (ETXABARRI-IBIÑA) , 1",ZIGOITIA,,,,Sociedad limitada,,,,Explotación de caballos y otros equinos
145,61.197,203,GANADOS ZURBANO SL,grande,https://ranking-empresas.eleconomista.es/GANADOS-ZURBANO.html,Ganados Zurbano Sl,Compra y venta de ganado ovino,"PASEO DE BERLIN , 28 - BAJO Nº 5",VITORIA-GASTEIZ,94528...,,94528...,Sociedad limitada,www.ganadoszurbano.es,,,Explotación de ganado ovino y caprino
145,311.218,74.886,"BERGADO CORDEROS, SOCIEDAD LIMITADA.",pequeña,https://ranking-empresas.eleconomista.es/BERGADO-CORDEROS.html,"Bergado Corderos, Sociedad Limitada.",Explotación de ganado ovino y caprino. Con carácter subsidiario otras explotaciones de ganado,"CALLE HERRADOR , 22 - B",ALEGRIA-DULANTZI,,,,Sociedad limitada,,,,Explotación de ganado ovino y caprino
145,393.432,6.906,KERIXARA SL L,pequeña,https://ranking-empresas.eleconomista.es/KERIXARA-L.html,Kerixara Sl L,OBTENCION DIRECTA DE FRUTOS Y PRODUCTOS AGRARIOS ALMACENAMIENTO DE FRUTOS Y PRODUCTOS AGRARIOS EN SUS LUGARES DE ORIGEN. TRANSPORTE DE FRUTOS Y PRODUCTOS A LUGARES DE ACONDICIONAMIENTO Y ACOPIO. PRIMERA TRANSFORMACION DE,"BARRIO LIMITADO , S/N",ARAMAIO,,,,Sociedad limitada laboral,,,,Explotación de ganado ovino y caprino
146,219.316,76.092,ARRI TURRI SL,pequeña,https://ranking-empresas.eleconomista.es/ARRI-TURRI.html,Arri Turri Sl,EXPLOTACION AGROPECUARIA.,"CALLE ZULA , S/N",SAN MILLAN/DONEMILIAGA,94540...,,94540...,Sociedad limitada,,,,Explotación de ganado porcino
146,492.922,58.438,ETXISUA SL,pequeña,https://ranking-empresas.eleconomista.es/ETXISUA.html,Etxisua Sl,EXPLOTACION DE GRANJA PORCINA EN CICLO CERRADO.,"CALLE ZENBIDEA (BO. ARGOMANIZ) , S/N",ELBURGO/BURGELU,619.....,,,Sociedad limitada,,,,Explotación de ganado porcino
150,35.767,4.113,GESTION FORESTAL FRIAS SOCIEDAD LIMITADA.,grande,https://ranking-empresas.eleconomista.es/GESTION-FORESTAL-FRIAS.html,Gestion Forestal Frias Sociedad Limitada.,"Actividades de tala, plantación, limpieza... de montes","CALLE GARDEA , 32",LAUDIO/LLODIO,690.....,,94672...,Sociedad limitada,,,,Producción agrícola combinada con la producción ganadera
150,213.882,23.188,EXCALAGUARDIA SL.,pequeña,https://ranking-empresas.eleconomista.es/EXCALAGUARDIA.html,Excalaguardia Sl.,"LA PRESTACION DE SERVICIOS FORESTALES AGRICOLAS Y DE JARDINERIA. LA COMPRAVENTA DE CUALQUIER TIPO DE MAQUINARIA. LA PRESTACION DE SERVICIOS DE RECICLAJE, RECONVERSION DE MATERIAS O PRODUCTOS DESECHABLES CON VEHICULOS PRO","CALLE MAYOR DE PERALTA , 7",LAGUARDIA,94598...,,,Sociedad limitada,,,,Producción agrícola combinada con la producción ganadera
