category,national_position,position_evolution,company_name,billing,company_link,Denominación,Objeto Social,Domicilio Social,Localidad,Teléfono,Otros Teléfonos,Fax,Forma Jurídica,Página Web,Otras Webs,Marcas,Actividad
4724,114.289,15.476,INVERSIONES ALIMENTARIAS CRUELLS SL,mediana,https://ranking-empresas.eleconomista.es/INVERSIONES-ALIMENTARIAS-CRUELLS.html,Inversiones Alimentarias Cruells Sl,Comercio menor de panadería y pastelería artesanal,"CALLE PASO EL PRAO , 3",OYON-OION,94562...,,94560...,Sociedad limitada,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4724,154.312,23.705,AMA OREA SL,mediana,https://ranking-empresas.eleconomista.es/AMA-OREA.html,Ama Orea Sl,"La comercialización de pan, bollería, pastelería, con o sin cocción en el establecimiento, galletas, dulces, chocolates, productos derivados de la leche y productos alimenticios para consumo humano. La comercialización de artículos de alimentación, naturales, en conserva, envasados o de cualquier ot","CALLE BULEVAR DE SALBURUA , 15 - BJ",VITORIA-GASTEIZ,,,,Sociedad limitada,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4724,178.716,1.228,GALBURUXKA SL,mediana,https://ranking-empresas.eleconomista.es/GALBURUXKA.html,Galburuxka Sl,"LA ELABORACION Y COMERCIALIZACION DE PAN, BOLLERIA, PASTELERIA, GALLETAS, DULCES, Y PRODUCTOS ALIMENTICIOS PARA CONSUMO HUMANO; LA PRESTACION DE SERVICIOS: DE HOSTELERIA, RESTAURANTE, BAR Y CAFETERIA; LA PRESTACION DE SE","CALLE JUAN XXIII , 3 - BJ",VITORIA-GASTEIZ,,,,Sociedad limitada,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4724,204.038,21.814,GIRO ERDIAN SL,mediana,https://ranking-empresas.eleconomista.es/GIRO-ERDIAN.html,Giro Erdian Sl,"LA COMERCIALIZACION DE PAN, BOLLERIA, PASTELERIA, PRODUCTOS DERIVADOS DE LA LECHE Y PRODUCTOS ALIMENTICIOS PARA EL CONSUMO HUMANO. LA COMERCIALIZACION DE ARTICULOS DE ALIMENTACION NATURALES, EN CONSERVA, ENVASADOS O DE C","CALLE EL PRADO , 2 - B",VITORIA-GASTEIZ,94512...,,,Sociedad limitada,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4724,295.561,22.617,GURE OKINDEGIA SL,pequeña,https://ranking-empresas.eleconomista.es/GURE-OKINDEGIA.html,Gure Okindegia Sl,"COMERCIO DE TODA CLASE DE PRODUCTOS ALIMENTARIOS Y DERIVADOS, ASI COMO DE PRODUCTOS DE PRIMERA NECESIDAD, PRENSA Y REVISTAS","CALLE SANCHO EL SABIO , 19 - B",VITORIA-GASTEIZ,94515...,,,Sociedad limitada,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4724,311.26,3.587,NORTH LOOPS SL.,pequeña,https://ranking-empresas.eleconomista.es/NORTH-LOOPS.html,North Loops Sl.,"La venta al por menor de bollería, helados y bebidas",CALLE ZARAMAGA (CL C.COM. EL BOULEVARD),VITORIA-GASTEIZ,94528...,,,Sociedad limitada unipersonal,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4724,313.205,1.738,PETIT BENOIT S.L.,pequeña,https://ranking-empresas.eleconomista.es/PETIT-BENOIT.html,Petit Benoit S.l.,#NAME?,"CALLE RAMON ORTIZ DE ZARATE , 6 - B",VITORIA-GASTEIZ,,,,Sociedad limitada,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4724,315.569,49.589,PANADERIA PASTELERIA URTARAN SL,pequeña,https://ranking-empresas.eleconomista.es/PANADERIA-PASTELERIA-URTARAN.html,Panaderia Pasteleria Urtaran Sl,"LA FABRICACION Y COMERCIALIZACION AL POR MENOR DE TODO TIPO DE PAN Y PANES ESPECIALES, DE PRODUCTOS DE PASTELERIA, CONFITERIA, BOLLERIA Y REPOSTERIA, LECHE, PRODUCTOS LACTEOS, INFUSIONES, CAFE, BEBIDAS EMBOTELLADAS, EMBU","CALLE LA ESTACION , 12 - IZARRA",URKABUSTAIZ,,,,Sociedad limitada,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4724,332.464,(ND),"HUERGON PAN, S.L.",pequeña,https://ranking-empresas.eleconomista.es/HUERGON-PAN.html,"Huergon Pan, S.l.","Al comercio alimentario, explotación de negocio de panadería por sí o a través de franquicia. CNAE principal 107","AVENIDA ZABALGANA , 23 - B",VITORIA-GASTEIZ,,,,Sociedad limitada unipersonal,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4724,418.515,104.522,"ENERIO GRETEL, SOCIEDAD LIMITADA.",pequeña,https://ranking-empresas.eleconomista.es/ENERIO-GRETEL.html,"Enerio Gretel, Sociedad Limitada.","El comercio al por menor de todo tipo de productos y en especial bebidas, artículos de alimentación, repostería, panadería y golosinas","AVENIDA SAN PRUDENCIO , 3",VITORIA-GASTEIZ,,,,Sociedad limitada unipersonal,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
