national_position,position_evolution,company_name,billing,category,company_link
296,28,"VIDRALA, SA",635.256.000,2313,https://ranking-empresas.eleconomista.es/VIDRALA.html
605,218,CELSA ATLANTIC SL,353.649.000,2410,https://ranking-empresas.eleconomista.es/CELSA-ATLANTIC.html
661,30,ARRAIA-OIL SL,320.320.000,4730,https://ranking-empresas.eleconomista.es/ARRAIA-OIL.html
852,164,COMPAÑIA DE BEBIDAS PEPSICO SL,253.152.000,1107,https://ranking-empresas.eleconomista.es/COMPANIA-BEBIDAS-PEPSICO.html
876,651,"TUBOS REUNIDOS GROUP, S.L.",245.965.000,2420,https://ranking-empresas.eleconomista.es/TUBOS-REUNIDOS-GROUP.html
934,202,AERNNOVA AEROSPACE SA,229.424.000,3030,https://ranking-empresas.eleconomista.es/AERNNOVA-AEROSPACE.html
982,10,GUARDIAN GLASS ESPAÑA CENTRAL VIDRIERA SL,220.999.000,4673,https://ranking-empresas.eleconomista.es/GUARDIAN-GLASS-ESPANA-CENTRAL-VIDRIERA.html
1.309,126,PEPSICO FOODS AIE,167.575.000,4639,https://ranking-empresas.eleconomista.es/PEPSICO-FOODS.html
1.352,49,FRONERI IBERIA SL,162.146.000,1052,https://ranking-empresas.eleconomista.es/FRONERI-IBERIA.html
1.516,95,SOCIEDAD INFORMATICA DEL GOBIERNO VASCO SA,145.848.437,6209,https://ranking-empresas.eleconomista.es/INFORMATICA-GOBIERNO-VASCO.html
1.813,513,ARATUBO SA,126.444.896,2420,https://ranking-empresas.eleconomista.es/ARATUBO.html
1.833,963,REYDESA RECYCLING S.L.,124.391.961,3831,https://ranking-empresas.eleconomista.es/REYDESA-RECYCLING.html
1.944,813,"ARCELORMITTAL TUBULAR PRODUCTS LEGUTIO, S.A.",117.690.835,2420,https://ranking-empresas.eleconomista.es/ARCELORMITTAL-TUBULAR-PRODUCTS-LEGUTIO.html
2.130,174,TUBERIAS Y PERFILES PLASTICOS SA,107.787.232,2221,https://ranking-empresas.eleconomista.es/TUBERIAS-PERFILES-PLASTICOS.html
2.309,1.757,ENERGYWORKS VIT-VALL SL,99.758.220,3516,https://ranking-empresas.eleconomista.es/ENERGYWORKS-VIT-VALL.html
2.353,26,SMC ESPAÑA SA,97.569.000,4669,https://ranking-empresas.eleconomista.es/SMC-ESPANA.html
2.448,302,RAMONDIN CAPSULAS SA,93.592.000,2592,https://ranking-empresas.eleconomista.es/RAMONDIN-CAPSULAS.html
2.463,267,PEPSICO MANUFACTURING AIE,92.934.000,4639,https://ranking-empresas.eleconomista.es/PEPSICO-MANUFACTURING.html
2.494,927,METALES UNZUETA II SL,92.047.825,4672,https://ranking-empresas.eleconomista.es/METALES-UNZUETA-II.html
2.523,109,"COMPAÑIA VINICOLA DEL NORTE DE ESPAÑA, SA",91.444.000,1102,https://ranking-empresas.eleconomista.es/COMPANIA-VINICOLA-NORTE-ESPANA.html
2.579,307,AIALA VIDRIO SA,89.176.000,2313,https://ranking-empresas.eleconomista.es/AIALA-VIDRIO.html
2.729,602,GENERAL QUIMICA SAU,84.310.000,2059,https://ranking-empresas.eleconomista.es/GENERAL-QUIMICA-SAU.html
2.808,151,PET IBERIA SL,81.574.000,2222,https://ranking-empresas.eleconomista.es/PET-IBERIA.html
3.028,370,ESTAMPACIONES RUBI SAU,75.726.323,2550,https://ranking-empresas.eleconomista.es/ESTAMPACIONES-RUBI-SAU.html
3.164,965,GUARDIAN LLODIO UNO SLU,72.796.000,2311,https://ranking-empresas.eleconomista.es/GUARDIAN-LLODIO-UNO-SLU.html
3.192,271,"BARON DE LEY, S.A.",72.241.000,1102,https://ranking-empresas.eleconomista.es/BARON-LEY.html
3.202,1.882,VIVIENDA Y SUELO DE EUSKADI SA EUSKADIKO ETXEBIZITZA ETA LURRA EA,72.035.486,4110,https://ranking-empresas.eleconomista.es/VIVIENDA-SUELO-EUSKADI-EUSKADIKO-ETXEBIZITZA-ETA-LURRA-EA.html
3.254,819,ACEROS DE ARAIA SA,70.930.257,4672,https://ranking-empresas.eleconomista.es/ACEROS-ARAIA.html
3.390,78,ASIENTOS DEL NORTE SL,68.395.000,2932,https://ranking-empresas.eleconomista.es/ASIENTOS-NORTE.html
3.471,11.499,"ECN COLADA ALUMINIO, S.L.",66.941.762,2442,https://ranking-empresas.eleconomista.es/ECN-COLADA-ALUMINIO.html
3.524,553,CENTRO-MEDITERRANEA DE BEBIDAS CARBONICAS PEPSICO SL,65.859.000,1107,https://ranking-empresas.eleconomista.es/CENTRO-MEDITERRANEA-BEBIDAS-CARBONICAS-PEPSICO.html
3.527,583,BODEGAS DE LOS HEREDEROS DEL MARQUES DE RISCAL SL,65.740.000,1102,https://ranking-empresas.eleconomista.es/BODEGAS-HEREDEROS-MARQUES-RISCAL.html
3.570,(ND),DEYDESA 2000 S.L.,65.007.959,4677,https://ranking-empresas.eleconomista.es/DEYDESA-2000.html
3.784,2.506,ACERIA DE ALAVA SA,61.992.602,2410,https://ranking-empresas.eleconomista.es/ACERIA-ALAVA.html
3.855,438,BHBIKES EUROPE SL.,60.939.940,3092,https://ranking-empresas.eleconomista.es/BHBIKES-EUROPE.html
3.864,464,"DEPORTIVO ALAVES, S.A.D.",60.853.299,9312,https://ranking-empresas.eleconomista.es/DEPORTIVO-ALAVES.html
3.894,1.467,"TUBACEX SERVICE SOLUTIONS, S.A.",60.370.803,4672,https://ranking-empresas.eleconomista.es/TUBACEX-SERVICE-SOLUTIONS.html
4.001,351,BODEGAS FAUSTINO SL,58.996.000,1102,https://ranking-empresas.eleconomista.es/BODEGAS-FAUSTINO.html
4.087,2.968,TUBACEX TUBOS INOXIDABLES SA,57.985.060,2420,https://ranking-empresas.eleconomista.es/TUBACEX-TUBOS-INOXIDABLES.html
4.161,365,"LASCARAY, SA",56.753.427,2014,https://ranking-empresas.eleconomista.es/LASCARAY.html
4.358,917,DECONS AGURAIN S.A.,54.211.547,2410,https://ranking-empresas.eleconomista.es/DECONS-AGURAIN.html
4.373,209,"SEGULA TECNOLOGIAS ESPAÑA, S.A.U.",54.027.000,7112,https://ranking-empresas.eleconomista.es/SEGULA-TECNOLOGIAS-ESPANA-SAU.html
4.493,1.292,KIDER STORE SOLUTIONS SOCIEDAD LIMITADA,52.710.570,2511,https://ranking-empresas.eleconomista.es/KIDER-STORE-SOLUTIONS.html
4.542,25,EXERCYCLE SL,52.084.603,3230,https://ranking-empresas.eleconomista.es/EXERCYCLE.html
4.584,2.441,ROCHLING AUTOMOTIVE ARAIA SLU,51.543.870,2229,https://ranking-empresas.eleconomista.es/ROCHLING-AUTOMOTIVE-ARAIA-SLU.html
4.635,2,PEPSICO EUROPE SUPPORT CENTER SL,51.121.000,6619,https://ranking-empresas.eleconomista.es/PEPSICO-EUROPE-SUPPORT-CENTER.html
4.837,295,"LITOGRAFIA ALAVESA, S.L.",49.147.000,2561,https://ranking-empresas.eleconomista.es/LITOGRAFIA-ALAVESA.html
4.855,37,INOXIDABLES DE EUSKADI SA,48.951.995,4672,https://ranking-empresas.eleconomista.es/INOXIDABLES-EUSKADI.html
4.857,151,PFERD RUGGEBERG SA,48.915.797,2573,https://ranking-empresas.eleconomista.es/PFERD-RUGGEBERG.html
5.050,1.142,ALU STOCK SA,47.008.620,4672,https://ranking-empresas.eleconomista.es/ALU-STOCK.html
5.064,387,ALAVA-LASCARAY S.A.,46.924.696,4511,https://ranking-empresas.eleconomista.es/ALAVA-LASCARAY.html
5.161,35,VIBRANTZ PERFORMANCE PIGMENTS SPAIN SL.,46.117.010,2012,https://ranking-empresas.eleconomista.es/VIBRANTZ-PERFORMANCE-PIGMENTS-SPAIN.html
5.219,1.982,AUTOMOCION AGROMOTOR SAU.,45.655.484,4511,https://ranking-empresas.eleconomista.es/AUTOMOCION-AGROMOTOR-SAU.html
5.252,820,ELKARKIDETZA E.P.S.V. DE EMPLEO PREFERENTE.,45.351.826,6629,https://ranking-empresas.eleconomista.es/ELKARKIDETZA-EPSV-EMPLEO-PREFERENTE.html
5.395,707,CTLPACK VITORIA-GASTEIZ SA.,44.241.000,2222,https://ranking-empresas.eleconomista.es/CTLPACK-VITORIA-GASTEIZ.html
5.405,743,"PEPSICO IBERIA SERVICIOS CENTRALES, S.L.",44.192.000,1107,https://ranking-empresas.eleconomista.es/PEPSICO-IBERIA-SERVICIOS-CENTRALES.html
5.505,629,RIVERCAP SAU,43.617.204,2592,https://ranking-empresas.eleconomista.es/RIVERCAP-SAU.html
5.535,648,LORAMENDI S COOP,43.334.998,2891,https://ranking-empresas.eleconomista.es/LORAMENDI.html
5.546,154,OZAETA IMEX S.L.,43.234.403,4623,https://ranking-empresas.eleconomista.es/OZAETA-IMEX.html
5.572,161,INDUSTRIAS QUIMICAS KUPSA SL,43.002.889,2030,https://ranking-empresas.eleconomista.es/INDUSTRIAS-QUIMICAS-KUPSA.html
5.640,845,GAMEKO FABRICACION DE COMPONENTES SA,42.507.000,2932,https://ranking-empresas.eleconomista.es/GAMEKO-FABRICACION-COMPONENTES.html
5.741,4.099,ZAYER SA,41.602.766,2849,https://ranking-empresas.eleconomista.es/ZAYER.html
5.873,352,INDUSTRIA AUXILIAR ALAVESA SA,40.547.000,2932,https://ranking-empresas.eleconomista.es/INDUSTRIA-AUXILIAR-ALAVESA.html
5.931,957,"VOESTALPINE RAILWAY SYSTEMS JEZ, S.L.",40.222.051,2599,https://ranking-empresas.eleconomista.es/VOESTALPINE-RAILWAY-SYSTEMS-JEZ.html
5.993,2.105,OLAN SA,39.692.636,2550,https://ranking-empresas.eleconomista.es/OLAN.html
6.139,1.253,NORDIFUSION SL,38.628.720,4511,https://ranking-empresas.eleconomista.es/NORDIFUSION.html
6.293,2.355,TUYPER SA,37.656.924,2431,https://ranking-empresas.eleconomista.es/TUYPER.html
6.364,520,INGASO FARM SL,37.216.888,1091,https://ranking-empresas.eleconomista.es/INGASO-FARM.html
6.435,1.849,PROVEEDORA DE TUBOS OCCIDENTAL S.L.,36.737.449,4672,https://ranking-empresas.eleconomista.es/PROVEEDORA-TUBOS-OCCIDENTAL.html
6.594,888,AMURRIO FERROCARRIL Y EQUIPOS SA,35.753.000,3020,https://ranking-empresas.eleconomista.es/AMURRIO-FERROCARRIL-EQUIPOS.html
6.825,5.501,"PEPSICO HOLDING DE ESPAÑA, S.L.",34.436.000,6420,https://ranking-empresas.eleconomista.es/PEPSICO-HOLDING-ESPANA.html
6.931,1.108,CONSTRUCCIONES URRUTIA SA,33.911.226,4121,https://ranking-empresas.eleconomista.es/CONSTRUCCIONES-URRUTIA.html
